,MATCH_ID,PLAYER_NAME,OPPONENT_TEAM,VENUE,MATCH_FORMAT,RUNS_SCORED,BALLS_FACED,FOURS,SIXES,STRIKE RATE,BOUNDARY
38,39,SURYAKUMAR YADAV,IRELAND,NEW YORK,T20I,2,4,0,0,50.0,0.0
39,40,SURYAKUMAR YADAV,NAMIBIA,DUBAI,T20I,25,19,4,0,131.57894736842107,21.052631578947366
40,41,SURYAKUMAR YADAV,NAMIBIA,DELHI,T20I,12,13,0,1,92.3076923076923,7.6923076923076925
41,42,SURYAKUMAR YADAV,NETHERLANDS,SYDNEY,T20I,51,25,7,1,204.0,32.0
42,43,SURYAKUMAR YADAV,NETHERLANDS,AHMEDABAD,T20I,34,28,2,1,121.42857142857142,10.714285714285714
43,44,SURYAKUMAR YADAV,NEW ZEALAND,RANCHI,T20I,47,34,6,2,138.23529411764704,23.52941176470588
44,45,SURYAKUMAR YADAV,NEW ZEALAND,LUCKNOW,T20I,26,31,1,0,83.87096774193549,3.225806451612903
45,46,SURYAKUMAR YADAV,NEW ZEALAND,AHMEDABAD,T20I,24,13,1,2,184.6153846153846,23.076923076923077
46,47,SURYAKUMAR YADAV,NEW ZEALAND,NAGPUR,T20I,32,22,4,1,145.45454545454547,22.727272727272727
47,48,SURYAKUMAR YADAV,NEW ZEALAND,RAIPUR,T20I,82,37,9,4,221.6216216216216,35.13513513513514
48,49,SURYAKUMAR YADAV,NEW ZEALAND,GUWAHATI,T20I,57,26,6,3,219.23076923076925,34.61538461538461
49,50,SURYAKUMAR YADAV,NEW ZEALAND,VISAKHAPATNAM,T20I,8,8,2,0,100.0,25.0
50,51,SURYAKUMAR YADAV,NEW ZEALAND,THIRUVANANTHAPURAM,T20I,63,30,4,6,210.0,33.33333333333333
51,52,SURYAKUMAR YADAV,SRI LANKA,WANKHEDE,T20I,7,10,1,0,70.0,10.0
52,53,SURYAKUMAR YADAV,SRI LANKA,PUNE,T20I,51,36,3,3,141.66666666666669,16.666666666666664
53,54,SURYAKUMAR YADAV,SRI LANKA,RAJKOT,T20I,112,51,7,9,219.60784313725492,31.372549019607842
54,55,SURYAKUMAR YADAV,SRI LANKA,PALLEKELE,T20I,58,26,8,2,223.0769230769231,38.46153846153847
55,56,SURYAKUMAR YADAV,SRI LANKA,PALLEKELE,T20I,26,12,4,1,216.66666666666666,41.66666666666667
56,57,SURYAKUMAR YADAV,SRI LANKA,PALLEKELE,T20I,8,9,1,0,88.88888888888889,11.11111111111111
57,58,SURYAKUMAR YADAV,SRI LANKA,DUBAI,T20I,12,13,1,0,92.3076923076923,7.6923076923076925
58,59,SURYAKUMAR YADAV,PAKISTAN,DUBAI,T20I,11,8,1,1,137.5,25.0
59,60,SURYAKUMAR YADAV,PAKISTAN,DUBAI,T20I,18,18,1,0,100.0,5.555555555555555
60,61,SURYAKUMAR YADAV,PAKISTAN,DUBAI,T20I,13,10,2,0,130.0,20.0
61,62,SURYAKUMAR YADAV,PAKISTAN,MELBOURNE,T20I,15,10,2,0,150.0,20.0
62,63,SURYAKUMAR YADAV,PAKISTAN,NEW YORK,T20I,7,8,1,0,87.5,12.5
63,64,SURYAKUMAR YADAV,PAKISTAN,DUBAI,T20I,47,37,5,1,127.02702702702702,16.216216216216218
64,65,SURYAKUMAR YADAV,PAKISTAN,DUBAI,T20I,0,3,0,0,0.0,0.0
65,66,SURYAKUMAR YADAV,PAKISTAN,DUBAI,T20I,1,5,0,0,20.0,0.0
66,67,SURYAKUMAR YADAV,PAKISTAN,COLOMBO,T20I,32,29,3,0,110.34482758620689,10.344827586206897
67,68,SURYAKUMAR YADAV,SOUTH AFRICA,DURBAN,T20I,21,17,2,1,123.52941176470588,17.647058823529413
68,69,SURYAKUMAR YADAV,SOUTH AFRICA,DQEBERHA,T20I,4,9,0,0,44.44444444444444,0.0
69,70,SURYAKUMAR YADAV,SOUTH AFRICA,CENTURION,T20I,1,4,0,0,25.0,0.0
70,71,SURYAKUMAR YADAV,SOUTH AFRICA,CUTTACK,T20I,12,11,2,0,109.09090909090908,18.181818181818183
71,72,SURYAKUMAR YADAV,SOUTH AFRICA,NEW CHANDIGARH,T20I,5,4,1,0,125.0,25.0
72,73,SURYAKUMAR YADAV,SOUTH AFRICA,DHARAMSALA,T20I,12,11,2,0,109.09090909090908,18.181818181818183
73,74,SURYAKUMAR YADAV,SOUTH AFRICA,AHMEDABAD,T20I,5,7,0,0,71.42857142857143,0.0
74,75,SURYAKUMAR YADAV,SOUTH AFRICA,AHMEDABAD,T20I,18,22,2,0,81.81818181818183,9.090909090909092
75,76,SURYAKUMAR YADAV,U.S.A,NEW YORK,T20I,50,49,2,2,102.04081632653062,8.16326530612245
76,77,SURYAKUMAR YADAV,U.S.A,WANKHEDE,T20I,84,49,10,4,171.42857142857142,28.57142857142857
77,78,SURYAKUMAR YADAV,WEST INDIES,BASSETERRE,T20I,11,6,0,1,183.33333333333331,16.666666666666664
78,79,SURYAKUMAR YADAV,WEST INDIES,BASSETERRE,T20I,76,44,8,4,172.72727272727272,27.27272727272727
79,80,SURYAKUMAR YADAV,WEST INDIES,LAUDERHILL,T20I,24,14,1,2,171.42857142857142,21.428571428571427
80,81,SURYAKUMAR YADAV,WEST INDIES,TAROUBA,T20I,21,21,2,1,100.0,14.285714285714285
81,82,SURYAKUMAR YADAV,WEST INDIES,PROVIDENCE,T20I,1,3,0,0,33.33333333333333,0.0
82,83,SURYAKUMAR YADAV,WEST INDIES,PROVIDENCE,T20I,83,44,10,4,188.63636363636365,31.818181818181817
83,84,SURYAKUMAR YADAV,WEST INDIES,LAUDERHILL,T20I,0,0,0,0,,
84,85,SURYAKUMAR YADAV,WEST INDIES,LAUDERHILL,T20I,61,45,4,3,135.55555555555557,15.555555555555555
85,86,SURYAKUMAR YADAV,WEST INDIES,EDEN GARDENS,T20I,18,16,1,1,112.5,12.5
86,87,SURYAKUMAR YADAV,AUSTRALIA,WANKHEDE,ODI,0,1,0,0,0.0,0.0
87,88,SURYAKUMAR YADAV,AUSTRALIA,VISAKHAPATNAM,ODI,0,1,0,0,0.0,0.0
88,89,SURYAKUMAR YADAV,AUSTRALIA,CHENNAI,ODI,0,1,0,0,0.0,0.0
89,90,SURYAKUMAR YADAV,AUSTRALIA,MOHALI,ODI,50,49,5,1,102.04081632653062,12.244897959183673
90,91,SURYAKUMAR YADAV,AUSTRALIA,INDORE,ODI,72,37,6,6,194.5945945945946,32.432432432432435
91,92,SURYAKUMAR YADAV,AUSTRALIA,RAJKOT,ODI,8,7,1,0,114.28571428571428,14.285714285714285
92,93,SURYAKUMAR YADAV,AUSTRALIA,AHMEDABAD,ODI,18,28,1,0,64.28571428571429,3.571428571428571
93,94,SURYAKUMAR YADAV,BANGLADESH,COLOMBO,ODI,26,34,3,0,76.47058823529412,8.823529411764707
94,95,SURYAKUMAR YADAV,ENGLAND,THW OVAL,ODI,0,0,0,0,,
95,96,SURYAKUMAR YADAV,ENGLAND,LORD'S,ODI,27,29,1,1,93.10344827586206,6.896551724137931
96,97,SURYAKUMAR YADAV,ENGLAND,MANCHESTER,ODI,16,28,1,0,57.14285714285714,3.571428571428571
