MATCH_ID,PLAYER_NAME,OPPONENT_TEAM,VENUE,MATCH_FORMAT,RUNS_SCORED,BALLS_FACED,FOURS,SIXES
139,SHUBHMAN GILL,SRI LANKA,WANKHEDE,T20I,7,5,1,0
140,SHUBHMAN GILL,SRI LANKA,PUNE,T20I,5,3,1,0
141,SHUBHMAN GILL,SRI LANKA,RAJKOT,T20I,46,36,2,3
142,SHUBHMAN GILL,SRI LANKA,PALLEKELE,T20I,34,16,6,1
143,SHUBHMAN GILL,SRI LANKA,PALLEKELE,T20I,39,37,3,0
144,SHUBHMAN GILL,SRI LANKA,DUBAI,T20I,4,3,1,0
145,SHUBHMAN GILL,WEST INDIES,TAROUBA,T20I,3,9,0,0
146,SHUBHMAN GILL,WEST INDIES,PROVIDENCE,T20I,7,9,0,1
147,SHUBHMAN GILL,WEST INDIES,PROVIDENCE,T20I,6,11,1,0
148,SHUBHMAN GILL,WEST INDIES,LAUDERHILL,T20I,77,47,3,5
149,SHUBHMAN GILL,WEST INDIES,LAUDERHILL,T20I,9,9,1,0
150,SHUBHMAN GILL,AUSTRALIA,MOHALI,ODI,74,63,6,2
151,SHUBHMAN GILL,AUSTRALIA,INDORE,ODI,104,97,6,4
152,SHUBHMAN GILL,AUSTRALIA,AHMEDABAD,ODI,4,7,0,0
153,SHUBHMAN GILL,AUSTRALIA,DUBAI,ODI,8,11,1,0
154,SHUBHMAN GILL,AUSTRALIA,PERTH,ODI,10,18,2,0
155,SHUBHMAN GILL,AUSTRALIA,ADELAIDE,ODI,9,9,1,0
156,SHUBHMAN GILL,AUSTRALIA,SYDNEY,ODI,24,26,2,1
157,SHUBHMAN GILL,BANGLADESH,COLOMBO,ODI,121,133,8,5
158,SHUBHMAN GILL,BANGLADESH,PUNE,ODI,53,55,5,2
159,SHUBHMAN GILL,BANGLADESH,DUBAI,ODI,101,129,9,2
160,SHUBHMAN GILL,ENGLAND,LUCKNOW,ODI,9,13,1,0
161,SHUBHMAN GILL,ENGLAND,NAGPUR,ODI,87,96,14,0
162,SHUBHMAN GILL,ENGLAND,CUTTACK,ODI,60,52,9,1
163,SHUBHMAN GILL,ENGLAND,AHMEDABAD,ODI,112,102,14,3
164,SHUBHMAN GILL,NEW ZEALAND,DHARAMSALA,ODI,26,31,5,0
165,SHUBHMAN GILL,NEW ZEALAND,WANKHEDE,ODI,80,66,8,3
166,SHUBHMAN GILL,NEW ZEALAND,DUBAI,ODI,31,50,0,1
167,SHUBHMAN GILL,NEW ZEALAND,DUBAI,ODI,2,7,0,0
168,SHUBHMAN GILL,NEW ZEALAND,VADODARA,ODI,56,71,3,2
169,SHUBHMAN GILL,NEW ZEALAND,RAJKOT,ODI,56,53,9,1
170,SHUBHMAN GILL,NEW ZEALAND,INDORE,ODI,23,18,4,0
171,SHUBHMAN GILL,PAKISTAN,PALLEKELE,ODI,10,32,1,0
172,SHUBHMAN GILL,PAKISTAN,COLOMBO,ODI,58,52,10,0
173,SHUBHMAN GILL,PAKISTAN,AHMEDABAD,ODI,16,11,4,0
174,SHUBHMAN GILL,PAKISTAN,DUBAI,ODI,46,52,7,0
175,SHUBHMAN GILL,SOUTH AFRICA,LUCKNOW,ODI,3,7,0,0
176,SHUBHMAN GILL,SOUTH AFRICA,RANCHI,ODI,28,26,5,0
177,SHUBHMAN GILL,SOUTH AFRICA,DELHI,ODI,49,57,8,0
178,SHUBHMAN GILL,SOUTH AFRICA,EDEN GARDENS,ODI,23,24,4,1
179,SHUBHMAN GILL,SRI LANKA,COLOMBO,ODI,27,19,6,0
180,SHUBHMAN GILL,SRI LANKA,WANKHEDE,ODI,92,92,11,2
181,SHUBHMAN GILL,SRI LANKA,COLOMBO,ODI,16,35,2,0
182,SHUBHMAN GILL,SRI LANKA,COLOMBO,ODI,35,44,3,0
183,SHUBHMAN GILL,SRI LANKA,COLOMBO,ODI,6,14,0,0
184,SHUBHMAN GILL,WEST INDIES,PORT OF SPAIN,ODI,64,53,6,2
185,SHUBHMAN GILL,WEST INDIES,PORT OF SPAIN,ODI,43,49,5,0
186,SHUBHMAN GILL,WEST INDIES,PORT OF SPAIN,ODI,98,98,7,2
187,SHUBHMAN GILL,WEST INDIES,BRIDGETOWN,ODI,7,16,1,0
188,SHUBHMAN GILL,WEST INDIES,BRIDGETOWN,ODI,34,49,5,0
189,SHUBHMAN GILL,WEST INDIES,TAROUBA,ODI,85,92,11,0
190,SANJU SAMSON,AFGHANISTAN,BENGALURU,T20I,0,1,0,0
191,SANJU SAMSON,AUSTRALIA,CANBERRA,T20I,23,15,1,1
192,SANJU SAMSON,AUSTRALIA,SYDNEY,T20I,15,10,1,1
193,SANJU SAMSON,AUSTRALIA,SYDNEY,T20I,10,9,0,0
194,SANJU SAMSON,AUSTRALIA,CANBERRA,T20I,0,0,0,0
195,SANJU SAMSON,AUSTRALIA,MELBOURNE,T20I,2,4,0,0
196,SANJU SAMSON,BANGLADESH,GWALIOR,T20I,29,19,6,0
197,SANJU SAMSON,BANGLADESH,DELHI,T20I,10,7,2,0
198,SANJU SAMSON,BANGLADESH,HYDERABAD,T20I,111,47,11,8
199,SANJU SAMSON,BANGLADESH,DUBAI,T20I,0,0,0,0
200,SANJU SAMSON,ENGLAND,EDEN GARDEN,T20I,26,20,4,1
201,SANJU SAMSON,ENGLAND,CHENNAI,T20I,5,7,0,0
202,SANJU SAMSON,ENGLAND,RAJKOT,T20I,3,6,0,0
203,SANJU SAMSON,ENGLAND,PUNE,T20I,1,3,0,0
204,SANJU SAMSON,ENGLAND,WANKHEDE,T20I,16,7,1,2
205,SANJU SAMSON,ENGLAND,WANKHEDE,T20I,89,42,8,7
206,SANJU SAMSON,IRELAND,DUBLIN,T20I,77,42,9,4
207,SANJU SAMSON,IRELAND,DUBLIN,T20I,1,1,0,0
208,SANJU SAMSON,IRELAND,DUBLIN,T20I,40,26,5,1
209,SANJU SAMSON,NEW ZEALAND,WELLINGTON,T20I,8,5,0,1
210,SANJU SAMSON,NEW ZEALAND,MOUNT MAUNGANUI,T20I,2,5,0,0
211,SANJU SAMSON,NEW ZEALAND,NAGPUR,T20I,10,7,2,0
212,SANJU SAMSON,NEW ZEALAND,RAIPUR,T20I,6,5,0,1
213,SANJU SAMSON,NEW ZEALAND,GUWAHATI,T20I,0,1,0,0
214,SANJU SAMSON, NEW ZEALAND,VISAKHAPATNAM,T20I,24,15,3,1
215,SANJU SAMSON,NEW ZEALAND,THIRUVANANTHAPURAM,T20I,6,6,1,0
216,SANJU SAMSON,OMAN,ABU DHABI,T20I,56,45,3,3
217,SANJU SAMSON,PAKISTAN,DUBAI,T20I,0,0,0,0
218,SANJU SAMSON,PAKISTAN,DUBAI,T20I,13,17,1,0
219,SANJU SAMSON,PAKISTAN,DUBAI,T20I,24,21,2,1
220,SANJU SAMSON,SOUTH AFRICA,DURBAN,T20I,107,50,7,10
221,SANJU SAMSON,SOUTH AFRICA,GQEBERHA,T20I,0,3,0,0
222,SANJU SAMSON,SOUTH AFRICA,CENTURION,T20I,0,2,0,0
223,SANJU SAMSON,SOUTH AFRICA,JOHANNESBURG,T20I,109,56,6,9
224,SANJU SAMSON,SOUTH AFRICA,AHMEDABAD,T20I,37,22,4,2
225,SANJU SAMSON,SRI LANKA,PUNE,T20I,6,2,0,1
226,SANJU SAMSON,SRI LANKA,COLOMBO,T20I,27,20,2,1
227,SANJU SAMSON,SRI LANKA,COLOMBO,T20I,7,13,0,0
228,SANJU SAMSON,SRI LANKA,COLOMBO,T20I,0,3,0,0
229,SANJU SAMSON,SRI LANKA,LUCKNOW,T20I,0,0,0,0
230,SANJU SAMSON,SRI LANKA,DHARAMSALA,T20I,39,25,2,3
231,SANJU SAMSON,SRI LANKA,DHARAMSALA,T20I,18,12,3,0
232,SANJU SAMSON,SRI LANKA,WANKHEDE,T20I,5,6,0,0
233,SANJU SAMSON,SRI LANKA,PALLEKELE,T20I,0,1,0,0
234,SANJU SAMSON,SRI LANKA,PALLEKELE,T20I,0,4,0,0
235,SANJU SAMSON,SRI LANKA,DUBAI,T20I,39,23,1,3
236,SANJU SAMSON,WEST INDIES,LAUDERHILL,T20I,30,23,2,1
237,SANJU SAMSON,WEST INDIES,LAUDERHILL,T20I,15,11,2,0
238,SANJU SAMSON,WEST INDIES,TAROUBA,T20I,12,12,0,1
239,SANJU SAMSON,WEST INDIES,PROVIDENCE,T20I,7,7,1,0
240,SANJU SAMSON,WEST INDIES,PROVIDENCE,T20I,0,0,0,0
241,SANJU SAMSON,WEST INDIES,LAUDERHILL,T20I,0,0,0,0
242,SANJU SAMSON,WEST INDIES,LAUDERHILL,T20I,13,9,2,0
243,SANJU SAMSON,WEST INDIES,EDEN GARDENS,T20I,97,50,12,4
244,SANJU SAMSON,ZIMBABWE,HARARE,T20I,19,24,1,0
245,SANJU SAMSON,ZIMBABWE,HARARE,T20I,12,7,2,0
246,SANJU SAMSON,ZIMBABWE,HARARE,T20I,0,0,0,0
247,SANJU SAMSON,ZIMBABWE,HARARE,T20I,58,45,1,4
248,SANJU SAMSON,ZIMBABWE,CHENNAI,T20I,24,15,1,2
249,SANJU SAMSON,NEW ZEALAND,AUCKLAND,ODI,36,38,4,0
250,SANJU SAMSON,SOUTH AFRICA,LUCKNOW,ODI,86,63,9,3
251,SANJU SAMSON,SOUTH AFRICA,RANCHI,ODI,30,36,1,1
252,SANJU SAMSON,SOUTH AFRICA,DELHI,ODI,2,4,0,0
253,SANJU SAMSON,SOUTH AFRICA,GQEBERHA,ODI,12,23,1,0
254,SANJU SAMSON,SOUTH AFRICA,PAARI,ODI,108,114,6,3
255,SANJU SAMSON,SRI LANKA,COLOMBO,ODI,46,46,5,1
256,SANJU SAMSON,WEST INDIES,PORT OF SPAIN,ODI,12,18,0,1
257,SANJU SAMSON,WEST INDIES,PORT OF SPAIN,ODI,54,51,3,3
258,SANJU SAMSON,WEST INDIES,PORT OF SPAIN,ODI,6,7,0,0
259,SANJU SAMSON,WEST INDIES,BRIDGETOWN,ODI,9,19,0,0
260,SANJU SAMSON,WEST INDIES,TAROUBA,ODI,51,41,2,4
261,SANJU SAMSON,ZIMBABWE,HARARE,ODI,0,0,0,0
262,SANJU SAMSON,ZIMBABWE,HARARE,ODI,43,39,3,4
263,SANJU SAMSON,ZIMBABWE,HARARE,ODI,15,13,0,2
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
